USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
dinnie      1223  0.0  0.4 290884 19784 ?        Sl   Oct26   0:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
dinnie      1237  0.0  0.4 430156 19108 ?        Sl   Oct26   0:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
root        1253  0.0  0.2 320268  8792 ?        Ssl  Oct26   0:00 /usr/libexec/upowerd
dinnie      1266  0.0  0.3 487500 14484 ?        Ssl  Oct26   0:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
dinnie      1282  0.0  0.5  69520 20840 ?        S    Oct26   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
dinnie      1288  0.0  0.1 400524  6064 ?        Sl   Oct26   0:00 xiccd
dinnie      1290  0.0  0.7 612072 28980 ?        Sl   Oct26   0:01 /usr/bin/python3 /usr/bin/blueman-applet
dinnie      1293  0.0  0.6 591928 27604 ?        Sl   Oct26   0:00 nm-applet
dinnie      1298  0.0  0.1 309364  5564 ?        Sl   Oct26   0:00 /usr/libexec/geoclue-2.0/demos/agent
dinnie      1305  0.0  0.2 411228 11844 ?        Sl   Oct26   0:00 xfce4-power-manager
dinnie      1313  0.0  0.0  12956  2088 ?        Ssl  Oct26   0:01 xcape -e Super_L Control_L Escape
dinnie      1314  0.0  0.7 287716 29504 ?        Sl   Oct26   0:02 xfce4-screensaver
colord      1316  0.0  0.2 319052 11836 ?        Ssl  Oct26   0:00 /usr/libexec/colord
dinnie      1318  0.1  0.5 377596 22188 ?        Sl   Oct26   1:23 /usr/bin/vmtoolsd -n vmusr --blockFd 3
dinnie      1319  0.0  0.2 270016 10976 ?        Sl   Oct26   0:00 /usr/libexec/polkit-mate-authentication-agent-1
dinnie      1473  0.0  0.2 383592 11312 ?        Ssl  Oct26   0:00 /usr/libexec/bluetooth/obexd
dinnie      1488  0.0  0.1 309732  5736 ?        Ssl  Oct26   0:00 /usr/libexec/xdg-permission-store
dinnie      1493  0.0  0.2 392732  9060 ?        Ssl  Oct26   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1497  0.0  0.2 482260 10308 ?        Ssl  Oct26   0:01 /usr/libexec/udisks2/udisksd
dinnie      1507  0.0  0.1 310320  6268 ?        Ssl  Oct26   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
dinnie      1521  0.0  0.1 390884  7620 ?        Ssl  Oct26   0:02 /usr/libexec/gvfs-afc-volume-monitor
